title,original_air_date,written_by,season,episode,us_viewers_in_millions,imdb_rating
"The Father, the Son, and the Holy Guest Star","2005-05-15","Matt Warburton","16","21","9.69","7.30"
"The Bonfire of the Manatees","2005-09-11","Dan Greaney","17","1","11.10","6.20"
"The Girl Who Slept Too Little","2005-09-18","John Frink","17","2","9.79","6.80"
"Milhouse of Sand and Fog","2005-09-25","Patric M. Verrone","17","3","10.19","6.90"
"Treehouse of Horror XVI","2005-11-06","Marc Wilmore","17","4","11.63","7.30"
"Marge's Son Poisoning","2005-11-13","Daniel Chun","17","5","11.4","6.90"
"See Homer Run","2005-11-20","Stephanie Gillis","17","6","10.3","6.80"
"The Last of the Red Hat Mamas","2005-11-27","Joel H. Cohen","17","7","11.46","6.60"
"The Italian Bob","2005-12-11","John Frink","17","8","10.39","7.10"
"Simpsons Christmas Stories","2005-12-18","Don Payne","17","9","9.8","6.80"
"Homer's Paternity Coot","2006-01-08","Joel H. Cohen","17","10","10.1","6.60"
"We're on the Road to D'ohwhere","2006-01-29","Kevin Curran","17","11","9.04","6.90"
"My Fair Laddy","2006-02-26","Michael Price","17","12","9.51","6.50"
"The Seemingly Never-Ending Story","2006-03-12","Ian Maxtone-Graham","17","13","9.72","7.60"
"Bart Has Two Mommies","2006-03-19","Dana Gould","17","14","8.75","7.00"
"Homer Simpson, This Is Your Wife","2006-03-26","Ricky Gervais","17","15","10.09","6.50"
"Million Dollar Abie","2006-04-02","Tim Long","17","16","7.83","6.30"
"Kiss Kiss, Bang Bangalore","2006-04-09","Deb Lacusta & Dan Castellaneta","17","17","8.20","7.20"
"The Wettest Stories Ever Told","2006-04-23","Jeff Westbrook","17","18","7.04","6.70"
"Girls Just Want to Have Sums","2006-04-30","Matt Selman","17","19","8.7","7.10"
"Regarding Margie","2006-05-07","Marc Wilmore","17","20","8.50","6.70"
"The Monkey Suit","2006-05-14","J. Stewart Burns","17","21","8.3","7.10"
"Marge and Homer Turn a Couple Play","2006-05-21","Joel H. Cohen","17","22","8.23","6.40"
"The Mook, the Chef, the Wife and Her Homer","2006-09-10","Bill Odenkirk","18","1","11.50","7.60"
"Jazzy and the Pussycats","2006-09-17","Daniel Chun","18","2","8.94","6.70"
"Please Homer, Don't Hammer 'Em","2006-09-24","Matt Warburton","18","3","9.72","6.80"
"Treehouse of Horror XVII","2006-11-05","Peter Gaffney","18","4","10.43","6.80"
"G.I. (Annoyed Grunt)","2006-11-12","Daniel Chun","18","5","11.43","6.80"
"Moe'N'a Lisa","2006-11-19","Matt Warburton","18","6","9.31","6.70"
"Ice Cream of Margie (with the Light Blue Hair)","2006-11-26","Carolyn Omine","18","7","10.90","6.90"
"The Haw-Hawed Couple","2006-12-10","Matt Selman","18","8","8.29","7.20"
"Kill Gil, Volumes I & II","2006-12-17","Jeff Westbrook","18","9","8.96","6.30"
"The Wife Aquatic","2007-01-07","Kevin Curran","18","10","13.90","6.50"
"Revenge Is a Dish Best Served Three Times","2007-01-28","Joel H. Cohen","18","11","8.09","7.00"
"Little Big Girl","2007-02-11","Don Payne","18","12","8.27","6.70"
"Springfield Up","2007-02-18","Matt Warburton","18","13","8.80","7.30"
"Yokel Chords","2007-03-04","Michael Price","18","14","9.09","6.80"
"Rome-Old and Juli-Eh","2007-03-11","Daniel Chun","18","15","8.98","6.30"
"Homerazzi","2007-03-25","J. Stewart Burns","18","16","6.91","7.10"
"Marge Gamer","2007-04-22","J. Stewart Burns","18","17","6.40","7.30"
"The Boys of Bummer","2007-04-29","Michael Price","18","18","7.57","6.00"
"Crook and Ladder","2007-05-06","Bill Odenkirk","18","19","7.72","6.90"
"Stop Or My Dog Will Shoot!","2007-05-13","John Frink","18","20","6.48","6.80"
"24 Minutes","2007-05-20","Billy Kimball & Ian Maxtone-Graham","18","21","9.80","8.10"
"You Kent Always Say What You Want","2007-05-20","Tim Long","18","22","9.80","7.20"
"He Loves to Fly and He D'ohs","2007-09-23","Joel H. Cohen","19","1","9.7","6.60"
"The Homer of Seville","2007-09-30","Carolyn Omine","19","2","8.4","6.50"
"Midnight Towboy","2007-10-07","Stephanie Gillis","19","3","7.7","7.10"
"I Don't Wanna Know Why the Caged Bird Sings","2007-10-14","Dana Gould","19","4","8.8","6.70"
"Treehouse of Horror XVIII","2007-11-04","Marc Wilmore","19","5","11.7","6.90"
"Little Orphan Millie","2007-11-11","Mick Kelly","19","6","10.57","6.60"
"Husbands and Knives","2007-11-18","Matt Selman","19","7","10.5","6.90"
"Funeral for a Fiend","2007-11-25","Michael Price","19","8","9.0","7.10"
"Eternal Moonshine of the Simpson Mind","2007-12-16","J. Stewart Burns","19","9","10.15","8.20"
"E Pluribus Wiggum","2008-01-06","Michael Price","19","10","8.2","6.80"
"That '90s Show","2008-01-27","Matt Selman","19","11","7.6","6.30"
"Love, Springfieldian Style","2008-02-17","Don Payne","19","12","7.81","6.50"
"The Debarted","2008-03-02","Joel H. Cohen","19","13","8.18","7.60"
"Dial 'N' for Nerder","2008-03-09","Carolyn Omine & William Wright","19","14","7.3","7.40"
"Smoke on the Daughter","2008-03-30","Billy Kimball","19","15","7.10","6.60"
"Papa Don't Leech","2008-04-13","Reid Harrison","19","16","6.9","6.10"
"Apocalypse Cow","2008-04-27","Jeff Westbrook","19","17","7.69","6.80"
"Any Given Sundance","2008-05-04","Daniel Chun","19","18","6.18","7.00"
"Mona Leaves-a","2008-05-11","Joel H. Cohen","19","19","6.02","7.00"
"All About Lisa","2008-05-18","John Frink","19","20","6.11","6.40"
"Bart Gets an 'F'","1990-10-11","David M. Stern","2","1","33.6","8.20"
"Simpson and Delilah","1990-10-18","Jon Vitti","2","2","29.9","8.20"
"Treehouse of Horror","1990-10-25","John Swartzwelder","2","3","27.4","8.20"
"Two Cars in Every Garage and Three Eyes on Every Fish","1990-11-01","Sam Simon & John Swartzwelder","2","4","26.1","8.00"
"Dancin' Homer","1990-11-08","Ken Levine & David Isaacs","2","5","26.1","7.30"
"Dead Putting Society","1990-11-15","Jeff Martin","2","6","25.4","7.90"
"Bart vs. Thanksgiving","1990-11-22","George Meyer","2","7","25.9","7.70"
"Bart the Daredevil","1990-12-06","Jay Kogen & Wallace Wolodarsky","2","8","26.2","8.30"
"Itchy & Scratchy & Marge","1990-12-20","John Swartzwelder","2","9","22.2","8.10"
"Bart Gets Hit by a Car","1991-01-10","John Swartzwelder","2","10","24.8","7.70"
"One Fish, Two Fish, Blowfish, Blue Fish","1991-01-24","Nell Scovell","2","11","24.2","8.80"
"The Way We Was","1991-01-31","Al Jean, Mike Reiss & Sam Simon","2","12","26.8","8.20"
"Homer vs. Lisa and the 8th Commandment","1991-02-07","Steve Pepoon","2","13","26.2","8.00"
"Principal Charming","1991-02-14","David M. Stern","2","14","23.9","7.40"
"Oh Brother, Where Art Thou?","1991-02-21","Jeff Martin","2","15","26.8","8.30"
"Bart's Dog Gets an 'F'","1991-03-07","Jon Vitti","2","16","23.9","7.40"
"Old Money","1991-03-28","Jay Kogen & Wallace Wolodarsky","2","17","21.2","7.60"
"Brush with Greatness","1991-04-11","Brian K. Roberts","2","18","20.6","7.90"
"Lisa's Substitute","1991-04-25","Jon Vitti","2","19","17.7","8.60"
"The War of the Simpsons","1991-05-02","John Swartzwelder","2","20","19.7","7.80"
"Three Men and a Comic Book","1991-05-09","Jeff Martin","2","21","21.0","8.30"
"Blood Feud","1991-07-11","George Meyer","2","22","17.3","7.80"
"Sex, Pies and Idiot Scrapes","2008-09-28","Kevin Curran","20","1","9.3","7.20"
"Lost Verizon","2008-10-05","John Frink","20","2","7.43","6.80"
"Double, Double, Boy in Trouble","2008-10-26","Bill Odenkirk","20","3","N/A","6.90"
"Treehouse of Horror XIX","2008-11-02","Matt Warburton","20","4","12.48","7.10"
"Dangerous Curves","2008-11-09","Billy Kimball & Ian Maxtone-Graham","20","5","8.16","6.60"
"Homer and Lisa Exchange Cross Words","2008-11-16","Tim Long","20","6","8.52 ","7.00"
"MyPods and Boomsticks","2008-11-30","Marc Wilmore","20","7","7.80","7.10"
"The Burns and the Bees","2008-12-07","Stephanie Gillis","20","8","6.19","6.50"
"Lisa the Drama Queen","2009-01-25","Brian Kelley","20","9","5.75","6.00"
"Take My Life, Please","2009-02-15","Don Payne","20","10","6.82","6.90"
"How the Test Was Won","2009-03-01","Michael Price","20","11","6.52","7.00"
"No Loan Again, Naturally","2009-03-08","Jeff Westbrook","20","12","5.99","6.80"
"Gone Maggie Gone","2009-03-15","Billy Kimball & Ian Maxtone-Graham","20","13","5.99","7.20"
"In the Name of the Grandfather","2009-03-22","Matt Marshall","20","14","6.15","6.30"
"Wedding for Disaster","2009-03-29","Joel H. Cohen","20","15","6.58","6.60"
"Eeny Teeny Maya Moe","2009-04-05","John Frink","20","16","6.50","7.20"
"The Good, the Sad and the Drugly","2009-04-19","Marc Wilmore","20","17","6.50","7.20"
"Father Knows Worst","2009-04-26","Rob LaZebnik","20","18","5.94","6.90"
"Waverly Hills, 9-0-2-1-D'oh","2009-05-03","J. Stewart Burns","20","19","6.75","7.10"
"Four Great Women and a Manicure","2009-05-10","Valentina L. Garza","20","20","5.16","6.40"
"Coming to Homerica","2009-05-17","Brendan Hay","20","21","5.86","7.30"
"Homer the Whopper","2009-09-27","Seth Rogen & Evan Goldberg","21","1","8.31","7.10"
"Bart Gets a 'Z'","2009-10-04","Matt Selman","21","2","9.32","6.60"
"The Great Wife Hope","2009-10-11","Carolyn Omine","21","3","7.5","6.30"
"Treehouse of Horror XX","2009-10-18","Daniel Chun","21","4","8.59","7.30"
"The Devil Wears Nada","2009-11-15","Tim Long","21","5","9.04","6.70"
"Pranks and Greens","2009-11-22","Jeff Westbrook","21","6","7.03","6.60"
"Rednecks and Broomsticks","2009-11-29","Kevin Curran","21","7","9.02","6.70"
"O Brother, Where Bart Thou?","2009-12-13","Matt Selman","21","8","7.11","7.10"
"Thursdays with Abie","2010-01-03","Don Payne & Mitchell H. Glazer","21","9","8.65","6.70"
"Once Upon a Time in Springfield","2010-01-10","Stephanie Gillis","21","10","14.62","6.50"
"Million Dollar Maybe","2010-01-31","Bill Odenkirk","21","11","5.11","7.10"
"Boy Meets Curl","2010-02-14","Rob LaZebnik","21","12","5.87","6.80"
"The Color Yellow","2010-02-21","Billy Kimball & Ian Maxtone-Graham","21","13","6.08","6.60"
"Postcards from the Wedge","2010-03-14","Brian Kelley","21","14","5.23","7.00"
"Stealing First Base","2010-03-21","John Frink","21","15","5.69","7.00"
"The Greatest Story Ever D'ohed","2010-03-28","Kevin Curran","21","16","5.69","5.70"
"American History X-cellent","2010-04-11","Michael Price","21","17","5.65","6.50"
"Chief of Hearts","2010-04-18","Carolyn Omine & William Wright","21","18","5.93","6.80"
"The Squirt and the Whale","2010-04-25","Matt Warburton","21","19","5.94","6.80"
"To Surveil with Love","2010-05-02","Michael Nobori","21","20","6.06","7.10"
"Moe Letter Blues","2010-05-09","Stephanie Gillis","21","21","5.66","7.00"
"The Bob Next Door","2010-05-16","John Frink","21","22","6.26","7.30"
"Judge Me Tender","2010-05-23","Dan Greaney & Allen Glazier","21","23","5.74","6.50"
"Elementary School Musical","2010-09-26","Tim Long","22","1","7.75","6.20"
"Loan-a Lisa","2010-10-03","Valentina L. Garza","22","2","8.59","6.70"
"MoneyBart","2010-10-10","Tim Long","22","3","6.72","6.70"
"Treehouse of Horror XXI","2010-11-07","Joel H. Cohen","22","4","8.19","7.10"
"Lisa Simpson, This Isn't Your Life","2010-11-14","Joel H. Cohen","22","5","8.97","7.20"
"The Fool Monty","2010-11-21","Michael Price","22","6","6.58","6.40"
"How Munched Is That Birdie in the Window?","2010-11-28","Kevin Curran","22","7","9.38","6.30"
"The Fight Before Christmas","2010-12-05","Deb Lacusta & Dan Castellaneta","22","8","9.54","6.70"
"Donnie Fatso","2010-12-12","Chris Cluess","22","9","7.18","7.00"
"Moms I'd Like to Forget","2011-01-09","Brian Kelley","22","10","12.6","6.30"
"Flaming Moe","2011-01-16","Matt Selman","22","11","6.47","6.70"
"Homer the Father","2011-01-23","Joel H. Cohen","22","12","6.50","6.90"
"The Blue and the Gray","2011-02-13","Rob LaZebnik","22","13","5.61","6.70"
"Angry Dad: The Movie","2011-02-20","John Frink","22","14","6.35","7.20"
"The Scorpion's Tale","2011-03-06","Billy Kimball & Ian Maxtone-Graham","22","15","6.20","6.60"
"A Midsummer's Nice Dream","2011-03-13","Deb Lacusta & Dan Castellaneta","22","16","5.44","6.00"
"Love Is a Many Strangled Thing","2011-03-27","Bill Odenkirk","22","17","6.14","6.20"
"The Great Simpsina","2011-04-10","Matt Warburton","22","18","5.00","6.80"
"The Real Housewives of Fat Tony","2011-05-01","Dick Blasucci","22","19","6.10","6.50"
"Homer Scissorhands","2011-05-08","Peter Gaffney & Steve Viksten","22","20","5.48","7.10"
"500 Keys","2011-05-15","John Frink","22","21","6.00","7.30"
"The Ned-Liest Catch","2011-05-22","Jeff Westbrook","22","22","5.25","7.00"
"The Falcon and the D'ohman","2011-09-25","Justin Hurwitz","23","1","8.08","7.10"
"Bart Stops to Smell the Roosevelts","2011-10-02","Tim Long","23","2","6.19","7.00"
"Treehouse of Horror XXII","2011-10-30","Carolyn Omine","23","3","8.10","6.40"
"Replaceable You","2011-11-06","Stephanie Gillis","23","4","7.97","6.40"
"The Food Wife","2011-11-13","Matt Selman","23","5","7.50","7.10"
"The Book Job","2011-11-20","Dan Vebber","23","6","5.77","7.90"
"The Man in the Blue Flannel Pants","2011-11-27","Jeff Westbrook","23","7","5.61","6.60"
"The Ten-Per-Cent Solution","2011-12-04","Deb Lacusta & Dan Castellaneta","23","8","9.01","6.10"
"Holidays of Future Passed","2011-12-11","J. Stewart Burns","23","9","6.43","8.30"
"Politically Inept, with Homer Simpson","2012-01-08","John Frink","23","10","5.07","6.00"
"The D'oh-cial Network","2012-01-15","J. Stewart Burns","23","11","11.48","6.90"
